"npc_name","scripted_npc","npc_role","zone_short_name","zone_long_name","zone_expansion","zone_expansion_name","spawn_x","spawn_y","spawn_z","is_merchant","min_expansion_number","min_expansion","max_expansion_number","max_expansion"
"Clockwork_Merchant","No","Cleric Spells","akanon","Ak'Anon","0","Classic","-372.00","2148.00","-181.96","Yes","0","Classic","-1","Not specified / no maximum"
"Clockwork_Merchant","No","Wizard Spells","akanon","Ak'Anon","0","Classic","-976.00","1060.00","29.98","Yes","0","Classic","-1","Not specified / no maximum"
"Clockwork_Merchant","No","Wizard Spells","akanon","Ak'Anon","0","Classic","-979.00","1054.00","29.98","Yes","0","Classic","-1","Not specified / no maximum"
"Clockwork_Merchant","No","Wizard Spells","akanon","Ak'Anon","0","Classic","-984.00","1050.00","29.88","Yes","0","Classic","-1","Not specified / no maximum"
"Clockwork_Merchant","No","Magician Spells","akanon","Ak'Anon","0","Classic","-1038.00","1073.00","29.98","Yes","0","Classic","-1","Not specified / no maximum"
"Clockwork_Merchant","No","Magician Spells","akanon","Ak'Anon","0","Classic","-1031.00","1090.00","29.98","Yes","0","Classic","-1","Not specified / no maximum"
"Clockwork_Merchant","No","Magician Spells","akanon","Ak'Anon","0","Classic","-1036.00","1093.00","29.98","Yes","0","Classic","-1","Not specified / no maximum"
"Clockwork_Merchant","No","Magician Spells","akanon","Ak'Anon","0","Classic","-1032.00","1098.00","29.98","Yes","0","Classic","-1","Not specified / no maximum"
"Clockwork_Merchant","No","Magician Spells","akanon","Ak'Anon","0","Classic","-1030.00","1103.00","29.88","Yes","0","Classic","-1","Not specified / no maximum"
"Clockwork_Merchant","No","Magician Spells","akanon","Ak'Anon","0","Classic","-1022.00","1108.00","29.98","Yes","0","Classic","-1","Not specified / no maximum"
"Clockwork_Merchant","No","General Spells","akanon","Ak'Anon","0","Classic","-1003.00","1073.00","29.88","Yes","0","Classic","-1","Not specified / no maximum"
"Clockwork_Merchant","No","Enchanter Spells","akanon","Ak'Anon","0","Classic","-1040.00","1120.00","30.98","Yes","0","Classic","-1","Not specified / no maximum"
"Clockwork_Merchant","No","Enchanter Spells","akanon","Ak'Anon","0","Classic","-993.00","1108.00","29.93","Yes","0","Classic","-1","Not specified / no maximum"
"Clockwork_Merchant","No","Enchanter Spells","akanon","Ak'Anon","0","Classic","-989.00","1108.00","29.93","Yes","0","Classic","-1","Not specified / no maximum"
"Clockwork_Merchant","No","Enchanter Spells","akanon","Ak'Anon","0","Classic","-984.00","1105.00","29.93","Yes","0","Classic","-1","Not specified / no maximum"
"Clockwork_Merchant","No","Enchanter Spells","akanon","Ak'Anon","0","Classic","-982.00","1102.00","29.93","Yes","0","Classic","-1","Not specified / no maximum"
"Clockwork_Merchant","No","Enchanter Spells","akanon","Ak'Anon","0","Classic","-976.00","1093.00","29.93","Yes","0","Classic","-1","Not specified / no maximum"
"Clockwork_Merchant","No","Necromancer Spells","akanon","Ak'Anon","0","Classic","-444.00","2148.00","-181.96","Yes","0","Classic","-1","Not specified / no maximum"
"Clockwork_Merchant","No","Necromancer Spells","akanon","Ak'Anon","0","Classic","-394.00","2101.00","-181.96","Yes","0","Classic","-1","Not specified / no maximum"
"Clockwork_Merchant","No","Necromancer Spells","akanon","Ak'Anon","0","Classic","-411.00","2098.00","-182.00","Yes","0","Classic","-1","Not specified / no maximum"
"Clockwork_MX","No","","akanon","Ak'Anon","0","Classic","-210.00","805.00","-70.00","No","0","Classic","-1","Not specified / no maximum"
"Clockwork_SmithXIII","No","Smithing Supplies","akanon","Ak'Anon","0","Classic","-540.00","2163.00","-182.00","Yes","0","Classic","-1","Not specified / no maximum"
"clockwork_sweeper","No","","akanon","Ak'Anon","0","Classic","154.88","700.88","-24.10","No","0","Classic","-1","Not specified / no maximum"
"Clockwork_VIIX","No","","akanon","Ak'Anon","0","Classic","-517.00","2027.00","-182.00","No","1","Ruins of Kunark","-1","Not specified / no maximum"
"Clockwork_XE","No","","akanon","Ak'Anon","0","Classic","29.00","214.00","-26.00","No","0","Classic","-1","Not specified / no maximum"
"Clockwork_XIB","No","","akanon","Ak'Anon","0","Classic","-4.00","2.25","1.25","No","0","Classic","-1","Not specified / no maximum"
"Clockwork_XIIIB","No","","akanon","Ak'Anon","0","Classic","-50.88","470.88","-26.60","No","0","Classic","-1","Not specified / no maximum"
"Clockwork_XIVE","No","","akanon","Ak'Anon","0","Classic","-120.00","722.00","-14.00","No","0","Classic","-1","Not specified / no maximum"
"Clockwork_XVE","No","","akanon","Ak'Anon","0","Classic","32.88","258.88","-26.00","No","0","Classic","-1","Not specified / no maximum"
"Clockwork_XVIIA","No","","akanon","Ak'Anon","0","Classic","-722.88","1165.88","-26.60","No","0","Classic","-1","Not specified / no maximum"
"Clockwork_XVIIIB","No","","akanon","Ak'Anon","0","Classic","-142.00","826.00","-30.63","No","0","Classic","-1","Not specified / no maximum"
"Clockwork_XVIIIE","No","","akanon","Ak'Anon","0","Classic","-115.00","741.88","1.88","No","0","Classic","-1","Not specified / no maximum"
"Clockwork_XXIB","No","","akanon","Ak'Anon","0","Classic","-779.88","1281.00","-12.63","No","0","Classic","-1","Not specified / no maximum"
"Clockwork_XXIVD","No","","akanon","Ak'Anon","0","Classic","-193.00","729.00","-54.00","No","0","Classic","-1","Not specified / no maximum"
"Derthix_Gibblix","No","Cleric Guildmaster","akanon","Ak'Anon","0","Classic","-454.00","2061.00","-181.96","No","5","Legacy of Ykesha","-1","Not specified / no maximum"
"Dewis_Caneal","No","Necromancer Guildmaster","akanon","Ak'Anon","0","Classic","-388.00","2082.00","-181.96","No","0","Classic","-1","Not specified / no maximum"
"Digetha_Chogaller","No","Cleric Guildmaster","akanon","Ak'Anon","0","Classic","-538.00","1183.00","-40.00","No","0","Classic","-1","Not specified / no maximum"
"Drekon_Vebnebber","No","General Supplies","akanon","Ak'Anon","0","Classic","-475.00","866.00","-30.00","Yes","0","Classic","-1","Not specified / no maximum"
"Drigaz_Grumblegrowl","No","","akanon","Ak'Anon","0","Classic","-915.00","1239.00","-28.75","No","0","Classic","-1","Not specified / no maximum"
"Eonis_Mournunder","No","Necromancer Guildmaster","akanon","Ak'Anon","0","Classic","-407.00","2100.00","-182.06","No","0","Classic","-1","Not specified / no maximum"
"Evah_Xokez","No","Cleric Guildmaster","akanon","Ak'Anon","0","Classic","-388.00","2099.88","-182.00","No","0","Classic","-1","Not specified / no maximum"
"Fireworks_Engineer_Fabdabus","No","Frostfell Fireworks","akanon","Ak'Anon","0","Classic","-731.00","1203.00","-26.00","No","11","Prophecy of Ro","-1","Not specified / no maximum"
"Flapti_Bizttrin","No","","akanon","Ak'Anon","0","Classic","-932.00","1240.00","-30.00","No","6","Lost Dungeons of Norrath","-1","Not specified / no maximum"
"Garret_Zethkog","No","Shadow Knight Guildmaster","akanon","Ak'Anon","0","Classic","-428.00","2146.00","-181.96","No","4","Planes of Power","-1","Not specified / no maximum"
"Gilipus","No","","akanon","Ak'Anon","0","Classic","-867.00","1386.00","-38.00","No","0","Classic","-1","Not specified / no maximum"
"Glerbella_Gibblix","No","","akanon","Ak'Anon","0","Classic","-581.00","2157.00","-182.00","No","9","Dragons of Norrath","-1","Not specified / no maximum"
"Golsodix_Biroboddle","No","","akanon","Ak'Anon","0","Classic","-854.00","1178.00","-38.00","No","5","Legacy of Ykesha","-1","Not specified / no maximum"
"Hargar_the_Velium_Chef","No","Frostfell Cook","akanon","Ak'Anon","0","Classic","-779.00","1224.00","-25.38","No","0","Classic","-1","Not specified / no maximum"
"Iony_Gredlong","No","Cleric Guildmaster","akanon","Ak'Anon","0","Classic","-577.00","1191.00","-33.12","No","0","Classic","-1","Not specified / no maximum"
"Jarah_Reskan","No","Warrior Guildmaster","akanon","Ak'Anon","0","Classic","-469.00","836.00","-30.00","No","3","Shadows of Luclin","-1","Not specified / no maximum"
"Juline_Urncaller","No","Enchanter Guildmaster","akanon","Ak'Anon","0","Classic","-979.00","1096.00","29.93","No","0","Classic","-1","Not specified / no maximum"
"Kaxon_Frennor","No","Rogue Guildmaster","akanon","Ak'Anon","0","Classic","-509.00","2069.00","-182.00","No","0","Classic","-1","Not specified / no maximum"
"Kimble_Nogflop","No","","akanon","Ak'Anon","0","Classic","-795.00","1335.00","-62.63","No","0","Classic","-1","Not specified / no maximum"
"King_Ak-Anon","No","","akanon","Ak'Anon","0","Classic","-206.00","809.00","-70.00","No","0","Classic","-1","Not specified / no maximum"
"Larkon_Theardor","No","Magician Guildmaster","akanon","Ak'Anon","0","Classic","-978.00","1029.00","30.88","No","0","Classic","-1","Not specified / no maximum"
"Lewis_Reldnok","No","Paladin Guildmaster","akanon","Ak'Anon","0","Classic","-526.00","1231.00","-36.00","No","0","Classic","-1","Not specified / no maximum"
"Lobal_Postugger","No","Rogue Guildmaster","akanon","Ak'Anon","0","Classic","-615.00","1168.00","-54.00","No","0","Classic","-1","Not specified / no maximum"
"Lyra_Lyrestringer","No","","akanon","Ak'Anon","0","Classic","-770.00","1254.00","-24.75","No","0","Classic","-1","Not specified / no maximum"
"Manik_Compolten","No","Warrior Guildmaster","akanon","Ak'Anon","0","Classic","-470.00","902.00","-30.00","No","0","Classic","-1","Not specified / no maximum"
"Mimtia_Zethkog","No","","akanon","Ak'Anon","0","Classic","-592.00","2171.00","-182.00","No","4","Planes of Power","-1","Not specified / no maximum"
"Morlan_Tanlonikan","No","","akanon","Ak'Anon","0","Classic","-608.00","1237.00","-54.00","No","4","Planes of Power","-1","Not specified / no maximum"
"Narron_Jenork","No","Warrior Guildmaster","akanon","Ak'Anon","0","Classic","-441.00","847.00","-30.00","No","0","Classic","-1","Not specified / no maximum"
"Naygog_Mitope","No","Warrior Guildmaster","akanon","Ak'Anon","0","Classic","-502.74","2107.87","-181.96","No","0","Classic","-1","Not specified / no maximum"
"Nonnie_Texaker","No","Enchanter Guildmaster","akanon","Ak'Anon","0","Classic","-1011.00","1076.00","29.98","No","0","Classic","-1","Not specified / no maximum"
"obsolete_model","No","","akanon","Ak'Anon","0","Classic","-530.13","2106.25","-182.00","No","0","Classic","-1","Not specified / no maximum"
"Priest_of_Discord","No","","akanon","Ak'Anon","0","Classic","56.00","360.00","-15.38","No","0","Classic","-1","Not specified / no maximum"
"Rebbie_Romblerum","No","","akanon","Ak'Anon","0","Classic","-595.00","2169.00","-182.00","No","4","Planes of Power","-1","Not specified / no maximum"
"Reuben_Reldnok","No","Paladin Guildmaster","akanon","Ak'Anon","0","Classic","-569.00","1230.00","-40.00","No","4","Planes of Power","-1","Not specified / no maximum"
"Rilgor_Plegnog","No","Enchanter Guildmaster","akanon","Ak'Anon","0","Classic","-579.00","2024.00","-182.00","No","0","Classic","-1","Not specified / no maximum"
"Rylin_Coil","No","Tinkering Supplies","akanon","Ak'Anon","0","Classic","-190.00","1469.00","-110.00","Yes","0","Classic","-1","Not specified / no maximum"
"Sanfyrd_Featherhead","No","","akanon","Ak'Anon","0","Classic","-231.00","2020.00","-194.00","No","0","Classic","-1","Not specified / no maximum"
"Santug_Claugg","No","","akanon","Ak'Anon","0","Classic","-784.00","1205.00","-21.38","No","0","Classic","-1","Not specified / no maximum"
"Silox_Azrix","No","","akanon","Ak'Anon","0","Classic","-262.00","2009.00","-194.00","No","1","Ruins of Kunark","-1","Not specified / no maximum"
"Soulbinder_Toglonoit","No","Soulbinder","akanon","Ak'Anon","0","Classic","38.00","500.00","-26.00","No","3","Shadows of Luclin","-1","Not specified / no maximum"
"Tamno_Shifa","No","Tribute Master","akanon","Ak'Anon","0","Classic","-761.00","1307.00","-26.00","No","7","Gates of Discord","-1","Not specified / no maximum"
"Tergon_Brenclog","No","Magician Guildmaster","akanon","Ak'Anon","0","Classic","-1033.00","1081.00","29.98","No","0","Classic","-1","Not specified / no maximum"
"Tesil_Gludien","No","Tailoring Supplies","akanon","Ak'Anon","0","Classic","-720.00","1195.00","-26.00","Yes","5","Legacy of Ykesha","-1","Not specified / no maximum"
"Tilkzog_Mournunder","No","","akanon","Ak'Anon","0","Classic","-454.00","2073.00","-182.00","No","4","Planes of Power","-1","Not specified / no maximum"
"Tobon_Starpyre","No","Wizard Guildmaster","akanon","Ak'Anon","0","Classic","-989.00","1049.00","29.98","No","0","Classic","-1","Not specified / no maximum"
"Useah_Harnbock","No","Wizard Guildmaster","akanon","Ak'Anon","0","Classic","-1008.00","1046.00","29.88","No","0","Classic","-1","Not specified / no maximum"
"Vaenor_Husga","No","Magician Guildmaster","akanon","Ak'Anon","0","Classic","-589.17","2020.38","-181.96","No","0","Classic","-1","Not specified / no maximum"
"Velena_Corgtec","No","Wizard Guildmaster","akanon","Ak'Anon","0","Classic","-595.00","2031.00","-182.00","No","0","Classic","-1","Not specified / no maximum"
"Watchman_Dool","No","","akanon","Ak'Anon","0","Classic","-211.00","788.00","-54.00","No","0","Classic","-1","Not specified / no maximum"
"Watchman_Hodl","No","","akanon","Ak'Anon","0","Classic","-172.00","827.00","-70.00","No","0","Classic","-1","Not specified / no maximum"
"Watchman_Lyl","No","","akanon","Ak'Anon","0","Classic","-139.00","812.00","-70.00","No","0","Classic","-1","Not specified / no maximum"
"Watchman_Qiz","No","","akanon","Ak'Anon","0","Classic","-144.00","827.00","-70.00","No","0","Classic","-1","Not specified / no maximum"
"Welno_Tanlonikan","No","Rogue Guildmaster","akanon","Ak'Anon","0","Classic","-598.00","1240.00","-54.00","No","0","Classic","-1","Not specified / no maximum"
"Wuggan_Azusphere","No","Magician Guildmaster","akanon","Ak'Anon","0","Classic","-1025.00","1108.00","29.98","No","0","Classic","-1","Not specified / no maximum"
"Xalirilan_Zarinokosalio","No","Wizard Guildmaster","akanon","Ak'Anon","0","Classic","-1039.00","1081.00","29.98","No","4","Planes of Power","-1","Not specified / no maximum"
"Zapho_the_Ancient","No","","akanon","Ak'Anon","0","Classic","-126.00","484.00","-26.00","No","0","Classic","-1","Not specified / no maximum"
"Zenrel_Ottonoggin","No","Parcels and General Supplies","akanon","Ak'Anon","0","Classic","-711.00","1313.00","-26.00","Yes","0","Classic","-1","Not specified / no maximum"
"Zigg_Flin","No","","akanon","Ak'Anon","0","Classic","-778.75","1366.75","-26.00","No","0","Classic","-1","Not specified / no maximum"
"DPS_Machine","No","Anguish-Quality","arena","The Arena","0","Classic","-103.10","-978.52","49.08","No","3","Shadows of Luclin","-1","Not specified / no maximum"
"DPS_Machine","No","Max Dmg 1.7K","arena","The Arena","0","Classic","-78.50","-974.00","49.90","No","3","Shadows of Luclin","-1","Not specified / no maximum"
"Soulbinder_Gendal","No","Soulbinder","arena","The Arena","0","Classic","167.55","-1020.73","49.08","No","3","Shadows of Luclin","-1","Not specified / no maximum"
"Boondin_Babbinsbort","No","","befallen","Befallen","0","Classic","-206.00","-814.00","-68.00","No","0","Classic","-1","Not specified / no maximum"
"Wraps_McGee","No",\N,"befallen","Befallen","0","Classic","-115.43","-334.68","-11.71","No","9","Dragons of Norrath","-1","Not specified / no maximum"
"Zeek","No","","befallen","Befallen","0","Classic","22.00","-201.00","-11.75","No","5","Legacy of Ykesha","-1","Not specified / no maximum"
"Diggs_Duggun","No","","beholder","Gorge of King Xorbb","0","Classic","-545.00","1262.00","5.13","No","1","Ruins of Kunark","-1","Not specified / no maximum"
"Lord_Soptyvr","No","","beholder","Gorge of King Xorbb","0","Classic","-603.75","492.81","-68.77","No","0","Classic","-1","Not specified / no maximum"
"Scout_Malityn","No","","blackburrow","Blackburrow","0","Classic","-52.00","-102.00","-50.25","No","0","Classic","-1","Not specified / no maximum"
"#Kanthuk_Ogrebane","Yes","","butcher","Butcherblock Mountains","0","Classic","2995.00","2185.00","-9.13","No","0","Classic","-1","Not specified / no maximum"
"#Translocator_Fithop","Yes","","butcher","Butcherblock Mountains","0","Classic","3256.00","1350.00","11.00","No","0","Classic","-1","Not specified / no maximum"
"#Translocator_Gethia","Yes","","butcher","Butcherblock Mountains","0","Classic","3180.60","851.88","11.66","No","0","Classic","-1","Not specified / no maximum"
"Alga_Bruntbuckler","No","","butcher","Butcherblock Mountains","0","Classic","-1957.00","-1185.00","0.13","Yes","0","Classic","-1","Not specified / no maximum"
"Alun_Bilgum","No","","butcher","Butcherblock Mountains","0","Classic","-694.00","2806.00","-0.13","No","1","Ruins of Kunark","-1","Not specified / no maximum"
"Atwin_Keladryn","No","","butcher","Butcherblock Mountains","0","Classic","2783.00","1429.00","0.00","No","8","Omens of War","-1","Not specified / no maximum"
"Ayen_Rundlor","No","","butcher","Butcherblock Mountains","0","Classic","-675.00","2821.00","0.00","Yes","0","Classic","-1","Not specified / no maximum"
"Balen_Kalgunn","No","","butcher","Butcherblock Mountains","0","Classic","2899.00","1475.00","-8.00","No","8","Omens of War","-1","Not specified / no maximum"
"Biski_Teezlen","No","Adventure Merchant","butcher","Butcherblock Mountains","0","Classic","-2470.00","-1134.00","-1.50","Yes","6","Lost Dungeons of Norrath","-1","Not specified / no maximum"
"Blyle_Bundin","No","","butcher","Butcherblock Mountains","0","Classic","2476.00","165.00","2.00","No","0","Classic","-1","Not specified / no maximum"
"Dalbar_Tarbrind","No","","butcher","Butcherblock Mountains","0","Classic","2882.00","-1403.00","-0.88","No","0","Classic","-1","Not specified / no maximum"
"Dandalek_Swillslammer","No","","butcher","Butcherblock Mountains","0","Classic","-203.00","2957.00","-0.13","Yes","0","Classic","-1","Not specified / no maximum"
"Dapper_Blackhammer","No","","butcher","Butcherblock Mountains","0","Classic","-814.50","2052.63","-0.88","No","1","Ruins of Kunark","-1","Not specified / no maximum"
"Darm_Dundam","No","","butcher","Butcherblock Mountains","0","Classic","1476.00","2039.00","-1.50","No","0","Classic","-1","Not specified / no maximum"
"Deldryn_Splendyr","No","","butcher","Butcherblock Mountains","0","Classic","2735.00","1428.00","0.88","No","8","Omens of War","-1","Not specified / no maximum"
"Delin_Ironblend","No","","butcher","Butcherblock Mountains","0","Classic","111.00","-146.00","-0.88","No","0","Classic","-1","Not specified / no maximum"
"Den_Ironblend","No","","butcher","Butcherblock Mountains","0","Classic","2853.00","-1511.00","-1.25","No","0","Classic","-1","Not specified / no maximum"
"Doran_Glosglen","No","","butcher","Butcherblock Mountains","0","Classic","2701.00","1098.00","0.38","No","0","Classic","-1","Not specified / no maximum"
"Dru_Razbind","No","","butcher","Butcherblock Mountains","0","Classic","2979.00","1606.00","1.75","No","0","Classic","-1","Not specified / no maximum"
"Durkis_Battlemore","No","","butcher","Butcherblock Mountains","0","Classic","402.00","2044.00","0.00","No","0","Classic","-1","Not specified / no maximum"
"Ellona","No","","butcher","Butcherblock Mountains","0","Classic","2016.00","-2086.00","-0.88","Yes","0","Classic","-1","Not specified / no maximum"
"Felen_Razdal","No","","butcher","Butcherblock Mountains","0","Classic","2383.00","129.00","0.25","Yes","0","Classic","-1","Not specified / no maximum"
"Feriella_Vorana","No","","butcher","Butcherblock Mountains","0","Classic","2550.00","890.00","0.47","No","8","Omens of War","-1","Not specified / no maximum"
"Fugan_Mumfur","No","","butcher","Butcherblock Mountains","0","Classic","2876.00","-1500.00","-1.50","Yes","0","Classic","-1","Not specified / no maximum"
"Gaellane_Ivyweaver","No","","butcher","Butcherblock Mountains","0","Classic","-2424.00","-1118.00","-1.22","No","6","Lost Dungeons of Norrath","-1","Not specified / no maximum"
"Gamin_Griststone","No","","butcher","Butcherblock Mountains","0","Classic","-941.00","2718.00","-0.88","Yes","0","Classic","-1","Not specified / no maximum"
"Ganbar_Dundam","No","","butcher","Butcherblock Mountains","0","Classic","1522.00","2036.00","-0.88","No","0","Classic","-1","Not specified / no maximum"
"Gand_Truelink","No","","butcher","Butcherblock Mountains","0","Classic","-1994.00","-1309.00","0.13","Yes","0","Classic","-1","Not specified / no maximum"
"Gann_Dunbull","No","","butcher","Butcherblock Mountains","0","Classic","2737.00","1069.00","0.50","No","0","Classic","-1","Not specified / no maximum"
"Gibi_Bilgum","No","","butcher","Butcherblock Mountains","0","Classic","-685.00","2792.00","-0.13","No","1","Ruins of Kunark","-1","Not specified / no maximum"
"Glopruk_Tigglum","No","Raid Recruiter","butcher","Butcherblock Mountains","0","Classic","-2503.00","-1147.00","1.50","No","6","Lost Dungeons of Norrath","-1","Not specified / no maximum"
"Glorin_Binfurr","No","","butcher","Butcherblock Mountains","0","Classic","3263.00","1360.00","10.38","No","0","Classic","-1","Not specified / no maximum"
"Glubbsink","No","","butcher","Butcherblock Mountains","0","Classic","3214.50","1237.00","-19.00","No","0","Classic","-1","Not specified / no maximum"
"Gridbar_Galund","No","","butcher","Butcherblock Mountains","0","Classic","2110.00","2335.00","0.50","No","8","Omens of War","-1","Not specified / no maximum"
"Guard_Armandin","No","","butcher","Butcherblock Mountains","0","Classic","-224.00","3041.00","2.25","No","0","Classic","-1","Not specified / no maximum"
"Guard_Belg","No","","butcher","Butcherblock Mountains","0","Classic","126.88","-105.00","0.00","No","0","Classic","-1","Not specified / no maximum"
"Guard_Burr","No","","butcher","Butcherblock Mountains","0","Classic","-185.00","2890.88","-0.88","No","0","Classic","-1","Not specified / no maximum"
"Guard_Clendin","No","","butcher","Butcherblock Mountains","0","Classic","2503.00","1374.00","0.00","No","0","Classic","-1","Not specified / no maximum"
"Guard_Dunil","No","","butcher","Butcherblock Mountains","0","Classic","2483.00","1315.00","-0.88","No","0","Classic","-1","Not specified / no maximum"
"Guard_Dunn","No","","butcher","Butcherblock Mountains","0","Classic","-795.00","2072.00","-0.88","No","0","Classic","-1","Not specified / no maximum"
"Guard_Gabel","No","","butcher","Butcherblock Mountains","0","Classic","-783.00","2072.00","0.00","No","0","Classic","-1","Not specified / no maximum"
"Guard_Grae","No","","butcher","Butcherblock Mountains","0","Classic","-204.00","3038.88","2.25","No","0","Classic","-1","Not specified / no maximum"
"Guard_Haendar","No","","butcher","Butcherblock Mountains","0","Classic","-239.88","2889.88","-0.88","No","0","Classic","-1","Not specified / no maximum"
"Guard_Haldin","No","","butcher","Butcherblock Mountains","0","Classic","137.00","-136.88","-0.88","No","0","Classic","-1","Not specified / no maximum"
"Guard_Hartt","No","","butcher","Butcherblock Mountains","0","Classic","1447.00","1105.00","0.13","No","0","Classic","-1","Not specified / no maximum"
"Guard_Kizzburr","No","","butcher","Butcherblock Mountains","0","Classic","-339.88","1067.88","-0.88","No","0","Classic","-1","Not specified / no maximum"
"Guard_Mandin","No","","butcher","Butcherblock Mountains","0","Classic","-378.00","184.80","33.15","No","0","Classic","-1","Not specified / no maximum"
"Guard_Norin","No","","butcher","Butcherblock Mountains","0","Classic","408.00","2073.00","-0.88","No","0","Classic","-1","Not specified / no maximum"
"Guard_Rundul","No","","butcher","Butcherblock Mountains","0","Classic","1854.13","1105.75","137.13","No","0","Classic","-1","Not specified / no maximum"
"Guard_Sornn","No","","butcher","Butcherblock Mountains","0","Classic","397.00","2072.00","-0.88","No","0","Classic","-1","Not specified / no maximum"
"Guard_Srinn","No","","butcher","Butcherblock Mountains","0","Classic","-334.00","1035.00","0.00","No","0","Classic","-1","Not specified / no maximum"
"Gundl","No","","butcher","Butcherblock Mountains","0","Classic","-179.63","-727.88","72.00","No","0","Classic","-1","Not specified / no maximum"
"Happ_Findlefinn","No","","butcher","Butcherblock Mountains","0","Classic","2644.00","1206.00","0.38","No","0","Classic","-1","Not specified / no maximum"
"Iglan_Thranon","No","","butcher","Butcherblock Mountains","0","Classic","-904.00","2806.00","-0.88","Yes","0","Classic","-1","Not specified / no maximum"
"Inudul_Dumirgun","No","","butcher","Butcherblock Mountains","0","Classic","-682.00","2837.00","0.25","Yes","0","Classic","-1","Not specified / no maximum"
